audio_path,top_target,top_score,score_construction,score_gunshot,score_alarm_siren,score_horn,score_water,score_knock,score_appliances,score_baby_cry,score_animal_cry,score_glass_shatter,best_audioset_construction,best_audioset_gunshot,best_audioset_alarm_siren,best_audioset_horn,best_audioset_water,best_audioset_knock,best_audioset_appliances,best_audioset_baby_cry,best_audioset_animal_cry,best_audioset_glass_shatter
C:\Users\Gamzadole\Desktop\EdgeAudioRecognition\playground\hyeonwoo\ESC-50-master\audio\1-100032-A-0.wav,animal_cry,0.38289108872413635,0.00014313739666249603,0.00017265156202483922,0.00025118677876889706,0.0011559007689356804,0.0001621928095119074,4.331903619458899e-05,5.433364276541397e-05,0.00012533752305898815,0.38289108872413635,0.00016474656877107918,Drill,"Gunshot, gunfire",Siren,"Vehicle horn, car horn, honking","Water tap, faucet",Knock,Vacuum cleaner,"Baby cry, infant cry",Dog,Shatter
C:\Users\Gamzadole\Desktop\EdgeAudioRecognition\playground\hyeonwoo\ESC-50-master\audio\1-100038-A-14.wav,animal_cry,0.0059110685251653194,5.920916373725049e-05,6.156764720799401e-05,0.00018961740715894848,0.00014883848780300468,0.000191104321856983,5.02506154589355e-05,5.694102947018109e-05,0.00018093574908562005,0.0059110685251653194,6.452214438468218e-05,Drill,"Gunshot, gunfire",Siren,"Vehicle horn, car horn, honking","Water tap, faucet",Knock,Vacuum cleaner,"Baby cry, infant cry",Dog,Glass
C:\Users\Gamzadole\Desktop\EdgeAudioRecognition\playground\hyeonwoo\ESC-50-master\audio\1-100210-A-36.wav,appliances,0.09301681071519852,0.0384661927819252,0.00020342698553577065,0.001004416379146278,0.000552778656128794,0.00046010586083866656,3.975192521465942e-05,0.09301681071519852,3.5633544030133635e-05,0.000347345310728997,0.00017674513219390064,Drill,"Gunshot, gunfire",Siren,"Vehicle horn, car horn, honking",Rain on surface,Knock,Vacuum cleaner,"Baby cry, infant cry",Dog,Glass
C:\Users\Gamzadole\Desktop\EdgeAudioRecognition\playground\hyeonwoo\ESC-50-master\audio\1-100210-B-36.wav,appliances,0.22661244869232178,0.06153673678636551,0.0003711854515131563,0.001314724562689662,0.000487857119878754,0.00038446192047558725,1.8631746570463292e-05,0.22661244869232178,4.006369272246957e-05,0.0005930210463702679,0.00021485926117748022,Drill,"Gunshot, gunfire",Siren,"Vehicle horn, car horn, honking",Rain,Knock,Vacuum cleaner,"Baby cry, infant cry",Dog,Glass
C:\Users\Gamzadole\Desktop\EdgeAudioRecognition\playground\hyeonwoo\ESC-50-master\audio\1-101296-A-19.wav,water,0.17852582037448883,0.00013658353418577462,0.0015427322359755635,0.0014493984635919333,0.0003006163169629872,0.17852582037448883,2.3369333575828932e-05,6.976470467634499e-05,6.709224544465542e-05,0.0004459562187548727,6.014152313582599e-05,Drill,"Gunshot, gunfire",Siren,"Vehicle horn, car horn, honking",Rain,Knock,Vacuum cleaner,"Baby cry, infant cry",Dog,Glass
C:\Users\Gamzadole\Desktop\EdgeAudioRecognition\playground\hyeonwoo\ESC-50-master\audio\1-101296-B-19.wav,water,0.14928317070007324,7.543320680269971e-05,0.0008295892039313912,0.0007916296017356217,0.00023597174731548876,0.14928317070007324,2.030369250860531e-05,3.7636447814293206e-05,4.101373633602634e-05,0.0004108485300093889,8.547616744181141e-05,Drill,"Gunshot, gunfire",Siren,"Vehicle horn, car horn, honking",Rain,Knock,Vacuum cleaner,"Baby cry, infant cry",Dog,Glass
C:\Users\Gamzadole\Desktop\EdgeAudioRecognition\playground\hyeonwoo\ESC-50-master\audio\1-101336-A-30.wav,knock,0.911337673664093,4.6474400733131915e-05,7.141901005525142e-05,0.00018814207578543574,0.0002492325147613883,0.0001387341326335445,0.911337673664093,5.225226777838543e-05,9.915272676153108e-05,0.00037263770354911685,0.0001837845629779622,Drill,"Gunshot, gunfire",Siren,"Vehicle horn, car horn, honking","Water tap, faucet",Knock,Vacuum cleaner,"Baby cry, infant cry",Cat,Glass
C:\Users\Gamzadole\Desktop\EdgeAudioRecognition\playground\hyeonwoo\ESC-50-master\audio\1-101404-A-34.wav,gunshot,0.0033115192782133818,0.0003006163169629872,0.0033115192782133818,0.00029365462251007557,0.0012303582625463605,0.0005420927773229778,0.0003301527176517993,8.547616744181141e-05,0.00010229986219201237,0.0012303582625463605,0.0001837845629779622,Drill,"Gunshot, gunfire",Siren,"Vehicle horn, car horn, honking","Water tap, faucet",Knock,Vacuum cleaner,"Baby cry, infant cry",Dog,Glass
C:\Users\Gamzadole\Desktop\EdgeAudioRecognition\playground\hyeonwoo\ESC-50-master\audio\1-103298-A-9.wav,animal_cry,0.0012399960542097688,4.0694576455280185e-05,7.843789353501052e-05,0.00018961740715894848,0.00010804955672938377,0.00027586790383793414,3.024195939360652e-05,2.8632557587116025e-05,0.00021485926117748022,0.0012399960542097688,5.920916373725049e-05,Drill,"Gunshot, gunfire",Siren,"Vehicle horn, car horn, honking",Rain,Knock,Vacuum cleaner,"Baby cry, infant cry",Dog,Glass
C:\Users\Gamzadole\Desktop\EdgeAudioRecognition\playground\hyeonwoo\ESC-50-master\audio\1-103995-A-30.wav,knock,0.3874005973339081,4.832564081880264e-05,6.922183820279315e-05,0.0008199321455322206,0.0007524627726525068,0.00015720345254521817,0.3874005973339081,2.818866414600052e-05,7.782753527862951e-05,0.00027586790383793414,7.722192094661295e-05,Drill,"Gunshot, gunfire",Siren,"Vehicle horn, car horn, honking","Water tap, faucet",Knock,Vacuum cleaner,"Baby cry, infant cry",Cat,Glass
C:\Users\Gamzadole\Desktop\EdgeAudioRecognition\playground\hyeonwoo\ESC-50-master\audio\1-103999-A-30.wav,knock,0.6351093053817749,7.9673009167891e-05,9.242113446816802e-05,0.000626334105618298,0.0008135565440170467,0.0001837845629779622,0.6351093053817749,3.4808123018592596e-05,8.220189192797989e-05,0.0003275842755101621,0.0001956353517016396,Drill,"Gunshot, gunfire",Siren,"Vehicle horn, car horn, honking","Water tap, faucet",Knock,Vacuum cleaner,"Baby cry, infant cry",Dog,Glass
C:\Users\Gamzadole\Desktop\EdgeAudioRecognition\playground\hyeonwoo\ESC-50-master\audio\1-104089-A-22.wav,animal_cry,0.0008727670647203922,0.00018814207578543574,0.0005571116926148534,0.0007947254925966263,0.00037409563083201647,0.0004747042548842728,0.00020502213737927377,8.092757343547419e-05,0.00018814207578543574,0.0008727670647203922,0.00021824207215104252,Drill,"Gunshot, gunfire",Siren,"Vehicle horn, car horn, honking","Water tap, faucet",Knock,Vacuum cleaner,"Baby cry, infant cry",Dog,Glass
C:\Users\Gamzadole\Desktop\EdgeAudioRecognition\playground\hyeonwoo\ESC-50-master\audio\1-104089-B-22.wav,animal_cry,0.0008328334079124033,0.00021485926117748022,0.0003077430883422494,0.0006462032906711102,0.00022167809947859496,0.0004565269045997411,0.00015356240328401327,0.00014883848780300468,0.00016603845870122313,0.0008328334079124033,0.00011235327838221565,Drill,"Gunshot, gunfire",Siren,"Vehicle horn, car horn, honking","Water tap, faucet",Knock,Vacuum cleaner,"Baby cry, infant cry",Cat,Glass
C:\Users\Gamzadole\Desktop\EdgeAudioRecognition\playground\hyeonwoo\ESC-50-master\audio\1-105224-A-22.wav,alarm_siren,0.0009927261853590608,0.00014539113908540457,0.0006070755189284682,0.0009927261853590608,0.00023597174731548876,0.0002415662893326953,0.0001837845629779622,9.098840382648632e-05,0.00011235327838221565,0.00044248730409890413,4.870464181294665e-05,Drill,"Gunshot, gunfire",Siren,"Vehicle horn, car horn, honking","Water tap, faucet",Knock,Vacuum cleaner,"Baby cry, infant cry",Dog,Glass
C:\Users\Gamzadole\Desktop\EdgeAudioRecognition\playground\hyeonwoo\ESC-50-master\audio\1-110389-A-0.wav,animal_cry,0.29645052552223206,0.0003697388747241348,0.00023413581948261708,0.00023782203788869083,0.0003951153776142746,0.0005463420529849827,3.4001819585682824e-05,0.000124362253700383,0.00014653129619546235,0.29645052552223206,0.00013765462790615857,Drill,"Gunshot, gunfire",Siren,"Vehicle horn, car horn, honking",Rain,Knock,Vacuum cleaner,"Baby cry, infant cry",Dog,Shatter
