filename,esc50_category,top1_audioset,top1_prob,score_car_horn,score_siren,score_alarm,score_screaming,score_crash
3-161010-A-43.wav,car_horn,Music,0.6026,0.0162,0.0012,0.0008,0.0003,0.0
4-186936-A-44.wav,engine,Vehicle,0.3874,0.0004,0.0013,0.0003,0.0004,0.0
1-211527-A-20.wav,crying_baby,Animal,0.1961,0.0007,0.0006,0.006,0.0347,0.0
1-97392-A-0.wav,dog,Dog,0.7891,0.0005,0.0008,0.0001,0.0002,0.0
1-115546-A-48.wav,fireworks,Fireworks,0.8233,0.0003,0.0002,0.0002,0.0001,0.0
2-57733-A-22.wav,clapping,Clapping,0.7775,0.0003,0.0009,0.0,0.0008,0.0
3-51909-A-42.wav,siren,Siren,0.8569,0.0007,0.8569,0.0007,0.0001,0.0
3-141240-B-44.wav,engine,Vehicle,0.5927,0.0008,0.0022,0.0089,0.0003,0.0
4-194754-A-0.wav,dog,Animal,0.672,0.0003,0.0029,0.0016,0.0007,0.0
4-183992-A-0.wav,dog,Animal,0.8193,0.0001,0.0002,0.0001,0.0001,0.0
2-128465-A-43.wav,car_horn,Vehicle,0.3435,0.0319,0.0116,0.0223,0.0003,0.0
2-116400-A-0.wav,dog,Animal,0.7756,0.0003,0.0014,0.0009,0.0003,0.0
2-117615-E-48.wav,fireworks,Fireworks,0.8675,0.0004,0.0002,0.0002,0.0004,0.0
4-189838-A-22.wav,clapping,Applause,0.8325,0.0002,0.0003,0.0001,0.0002,0.0
3-174840-A-43.wav,car_horn,"Vehicle horn, car horn, honking",0.4117,0.4117,0.0028,0.0307,0.0002,0.0
2-70938-A-42.wav,siren,Siren,0.8405,0.0043,0.8405,0.0017,0.0003,0.0
4-119648-D-48.wav,fireworks,Fireworks,0.7326,0.0004,0.0005,0.0003,0.0002,0.0
2-117271-A-0.wav,dog,Animal,0.7654,0.0002,0.0007,0.0003,0.0004,0.0
1-7057-A-12.wav,crackling_fire,Fire,0.4967,0.0002,0.0007,0.0011,0.0003,0.0
2-42101-A-43.wav,car_horn,Vehicle,0.6318,0.1212,0.0025,0.0004,0.0001,0.0
4-121532-A-42.wav,siren,Siren,0.8503,0.0017,0.8503,0.0022,0.0001,0.0
4-171207-A-12.wav,crackling_fire,Vehicle,0.1515,0.0006,0.001,0.0015,0.0003,0.0
4-119647-D-48.wav,fireworks,Fireworks,0.6975,0.0003,0.0003,0.0002,0.0002,0.0
3-130330-A-22.wav,clapping,Clapping,0.52,0.0005,0.0007,0.0004,0.0005,0.0
1-31482-B-42.wav,siren,Emergency vehicle,0.6693,0.0013,0.4877,0.0011,0.0001,0.0
5-243036-A-29.wav,drinking_sipping,Gurgling,0.3118,0.0008,0.0003,0.0002,0.0004,0.0
2-146877-B-31.wav,mouse_click,Clicking,0.6636,0.0001,0.0006,0.0057,0.0003,0.0
1-51805-A-33.wav,door_wood_creaks,Music,0.2039,0.0027,0.0006,0.0016,0.003,0.0
1-18074-A-6.wav,hen,"Chicken, rooster",0.8187,0.0007,0.0041,0.0046,0.0005,0.0
3-172179-A-31.wav,mouse_click,Knock,0.1074,0.0001,0.0003,0.0003,0.0009,0.0
2-146877-A-31.wav,mouse_click,Clicking,0.8434,0.0001,0.0002,0.0005,0.0002,0.0
5-261464-A-23.wav,breathing,Snort,0.2578,0.0008,0.0036,0.0024,0.0007,0.0
4-213915-C-3.wav,cow,"Livestock, farm animals, working animals",0.9369,0.0007,0.0017,0.0005,0.0003,0.0
5-250026-A-30.wav,door_wood_knock,Knock,0.9067,0.0001,0.0001,0.0002,0.0,0.0
2-250710-A-39.wav,glass_breaking,"Chink, clink",0.1583,0.0008,0.0004,0.0037,0.0002,0.0
4-218199-G-35.wav,washing_machine,Speech,0.0698,0.0004,0.0045,0.0034,0.0005,0.0
3-157487-A-10.wav,rain,Rain on surface,0.3479,0.0001,0.0005,0.0001,0.0001,0.0
2-122820-B-36.wav,vacuum_cleaner,Vacuum cleaner,0.6495,0.0002,0.0018,0.0008,0.0004,0.0
2-160128-A-7.wav,insects,Insect,0.866,0.0004,0.001,0.0029,0.0003,0.0
2-135649-C-45.wav,train,Train,0.5435,0.0029,0.0009,0.0008,0.0002,0.0
1-52290-A-30.wav,door_wood_knock,Knock,0.5755,0.0004,0.0005,0.0001,0.0001,0.0
1-20133-A-39.wav,glass_breaking,Breaking,0.4425,0.0006,0.0004,0.0001,0.0003,0.0
1-9886-A-49.wav,hand_saw,Fire alarm,0.1669,0.0006,0.0045,0.1669,0.0005,0.0
2-65484-A-18.wav,toilet_flush,Toilet flush,0.8408,0.0001,0.0001,0.0001,0.0001,0.0
2-123712-A-33.wav,door_wood_creaks,Fire alarm,0.3028,0.002,0.0039,0.3028,0.0002,0.0
3-102583-A-49.wav,hand_saw,Music,0.0981,0.001,0.0009,0.0008,0.0008,0.0
5-141683-A-35.wav,washing_machine,Vehicle,0.4072,0.0006,0.0012,0.003,0.0002,0.0
2-73027-A-10.wav,rain,Rain,0.2369,0.0004,0.0002,0.0002,0.0001,0.0
3-142601-A-21.wav,sneezing,Sneeze,0.8966,0.0001,0.0002,0.0001,0.0002,0.0
4-173865-B-9.wav,crow,Crow,0.689,0.0004,0.0015,0.0006,0.0006,0.0
